carrier_name,orders,avg_delivery_days,on_time_pct,perfect_order_pct,ship_cost,ship_cost_per_order,ship_recovery_pct
Correios,7095.0,5.634813248766737,0.9455954897815363,0.831430584918957,73732.82999999999,10.392224101479913,0.04775234465325691
DHL,7402.0,4.300594433936774,0.9469062415563361,0.8263982707376385,76153.28,10.28820318832748,0.2898192286316492
DPD,15671.0,4.085572075808819,0.9474826111926489,0.8301959032608002,161812.88999999998,10.325626316125327,0.33369360422899563
Evri,8232.0,4.8056365403304175,0.9397473275024295,0.8231292517006803,84315.99,10.242467201166182,0.3800161153798941
FedEx,32913.0,4.041746422386291,0.9468599033816425,0.8338042718682588,344420.32,10.464567799957464,0.3054114519143354
Hermes,7378.0,5.100298183789645,0.9449715370018975,0.8322038492816481,76285.35,10.33957034426674,0.28934373996960094
Jadlog,7217.0,5.125675488430096,0.9448524317583483,0.8301233199390329,75131.01000000001,10.410282665927673,0.047559447282686594
Loggi,7065.0,4.639207360226468,0.9476291578202406,0.8253361641896674,73346.39,10.381654635527246,0.04567404733089113
Royal Mail,8317.0,4.2019959119874954,0.9523866778886618,0.8304677167247806,85788.32,10.314815438258988,0.3828423848452796
UPS,33383.0,4.349219662702573,0.9438037324386663,0.8261090974448072,348167.07999999996,10.429472485995865,0.307004958653759
USPS,32723.0,4.940042172172478,0.9415701494361763,0.8289887846468844,340602.1,10.408645295358005,0.30259367161858375
