month_year,actual,plan,attain_pct
2025-07,806915.93,636538.35,0.26766271034573186
2025-08,529157.12,514899.42,0.02769026230404381
2025-09,838028.17,759111.71,0.10395895486844764
2025-10,918668.9400000001,744743.24,0.23353780290775128
2025-11,1637631.45,1669092.76,-0.018849347833729824
2025-12,1230496.05,1185299.68,0.03813075356605178
2026-01,453147.29,494102.67,-0.0828884005018633
2026-02,606149.18,1020000.72,-0.40573651751932094
2026-03,781588.79,731864.05,0.06794259125038327
2026-04,620717.9400000001,870943.68,-0.2873041572561844
2026-05,884406.25,1237170.7,-0.28513805734325903
2026-06,981682.03,677134.39,0.44975952262592966
