experiment_week,control,treatment,lift_pp
1.0,0.956776762421571,0.9726789323800193,1.5902169958448398
2.0,0.9734309304945675,0.9717655064162417,-0.16654240783258167
3.0,0.9636459218192396,0.9609647387738258,-0.268118304541376
4.0,0.9588283547524058,0.957156576375597,-0.16717783768087635
5.0,0.9725592756373894,0.9549064991958944,-1.7652776441494988
6.0,0.9614184508940488,0.954220546840464,-0.719790405358478
7.0,0.9655897523814582,0.9675466151247402,0.19568627432819952
8.0,0.9710266384699069,0.9563245284708676,-1.4702109999039314
9.0,0.9631890728866112,0.9708355562001838,0.764648331357265
10.0,0.9600790590050309,0.96485176741151,0.47727084064791425
